date,open_price,high_price,low_price,trade_price,volume
2023-10-13,2460.85,2466.62,2452.83,2456.15,582883748
2023-10-16,2442.43,2453.77,2422.52,2436.24,788356048
2023-10-17,2454.14,2466.87,2449.42,2460.17,509375162
2023-10-18,2452.05,2465.33,2450.78,2462.6,911545886
2023-10-19,2431.92,2433.45,2412.55,2415.8,756946720
2023-10-20,2391.54,2394.67,2364.01,2375.0,521208061
2023-10-23,2370.07,2375.79,2354.7,2357.02,395930159
2023-10-24,2371.55,2384.14,2326.67,2383.51,444165247
2023-10-25,2389.23,2389.9,2362.69,2363.17,440806736
2023-10-26,2325.82,2330.55,2299.08,2299.08,531072827
2023-10-27,2311.59,2321.84,2293.05,2302.81,514875992
2023-10-30,2292.34,2317.75,2292.34,2310.55,444842306
2023-10-31,2318.39,2322.45,2273.97,2277.99,394982283
2023-11-01,2292.89,2312.15,2288.64,2301.56,358157301
2023-11-02,2334.96,2351.91,2333.41,2343.12,377461502
2023-11-03,2365.59,2370.28,2351.83,2368.34,578661884
2023-11-06,2399.8,2502.37,2395.03,2502.37,528584832
2023-11-07,2476.35,2476.35,2418.74,2443.96,457675546
2023-11-08,2460.22,2468.43,2418.14,2421.62,467217484
2023-11-09,2425.93,2437.9,2413.04,2427.08,395030998
2023-11-10,2406.4,2413.62,2393.64,2409.66,312467956
2023-11-13,2431.24,2435.32,2399.04,2403.76,307123090
2023-11-14,2424.93,2442.37,2422.97,2433.25,306963703
2023-11-15,2482.21,2487.42,2468.43,2486.67,419843260
2023-11-16,2483.48,2491.98,2472.69,2488.18,407440839
2023-11-17,2477.43,2481.1,2463.59,2469.85,388973752
2023-11-20,2464.72,2499.75,2464.04,2491.2,323806345
2023-11-21,2504.7,2517.74,2500.91,2510.42,345054695
2023-11-22,2493.17,2516.72,2490.43,2511.7,439485471
2023-11-23,2515.83,2522.2,2507.3,2514.96,360873812
2023-11-24,2517.88,2521.56,2496.63,2496.63,359382702
2023-11-27,2501.83,2511.37,2489.18,2495.66,364743731
2023-11-28,2506.14,2522.45,2502.26,2521.76,443089715
2023-11-29,2518.8,2523.98,2501.44,2519.81,579271100
2023-11-30,2512.11,2535.29,2507.8,2535.29,664284035
2023-12-01,2520.49,2520.49,2504.06,2505.01,516596238
2023-12-04,2522.22,2525.63,2510.52,2514.95,498860818
2023-12-05,2507.45,2509.74,2492.55,2494.28,427066848
2023-12-06,2503.57,2509.67,2495.38,2495.38,390989432
2023-12-07,2493.14,2499.73,2481.0,2492.07,446877270
2023-12-08,2510.24,2521.58,2507.14,2517.85,431796634
2023-12-11,2524.79,2528.89,2512.45,2525.36,435003610
2023-12-12,2535.11,2543.06,2529.74,2535.27,378033628
2023-12-13,2531.23,2531.23,2509.89,2510.66,377934427
2023-12-14,2547.74,2549.65,2532.16,2544.18,530123485
2023-12-15,2558.44,2574.23,2555.3,2563.56,465313553
2023-12-18,2568.77,2573.13,2556.05,2566.86,384828383
2023-12-19,2564.81,2570.06,2556.52,2568.55,392497373
2023-12-20,2586.99,2615.38,2584.85,2614.3,570423377
2023-12-21,2598.37,2610.81,2587.16,2600.02,578334789
2023-12-22,2617.72,2621.37,2599.51,2599.51,465967201
2023-12-26,2609.44,2612.14,2594.65,2602.59,440428129
2023-12-27,2599.35,2613.5,2590.08,2613.5,349733378
2023-12-28,2616.27,2655.28,2611.72,2655.28,460086621
2024-01-02,2645.47,2675.8,2641.88,2669.81,409871688
2024-01-03,2643.54,2643.72,2607.31,2607.31,463131608
2024-01-04,2592.44,2602.64,2580.09,2587.02,770176172
2024-01-05,2586.89,2592.29,2572.6,2578.08,522289892
2024-01-08,2584.23,2591.68,2566.34,2567.82,320143990
2024-01-09,2598.31,2599.37,2556.0,2561.24,791214273
2024-01-10,2563.97,2568.19,2539.82,2541.98,570021066
2024-01-11,2543.03,2557.3,2540.27,2540.27,788422596
2024-01-12,2536.55,2543.83,2517.76,2525.05,790177187
2024-01-15,2525.69,2536.06,2515.84,2525.99,802102006
2024-01-16,2516.27,2524.35,2491.13,2497.59,659578602
2024-01-17,2501.23,2503.91,2435.34,2435.9,965595357
2024-01-18,2439.96,2453.97,2429.12,2440.04,571507487
2024-01-19,2468.43,2479.0,2455.5,2472.74,518806918
2024-01-22,2489.57,2490.69,2464.35,2464.35,388045571
2024-01-23,2478.32,2482.84,2464.24,2478.61,472284165
2024-01-24,2476.22,2476.22,2454.34,2469.69,395463694
2024-01-25,2467.73,2474.01,2452.36,2470.34,357233504
2024-01-26,2458.05,2502.61,2453.45,2478.56,292662412
2024-01-29,2490.93,2516.92,2483.81,2500.65,427439639
2024-01-30,2523.68,2528.54,2498.81,2498.81,481808939
2024-01-31,2487.9,2502.45,2486.97,2497.09,454574443
2024-02-01,2491.93,2542.46,2491.93,2542.46,751074606
2024-02-02,2559.4,2615.34,2559.39,2615.31,596121129
2024-02-05,2612.77,2612.77,2562.5,2591.31,511677820
2024-02-06,2584.2,2599.18,2563.87,2576.2,411617635
2024-02-07,2592.59,2625.24,2588.09,2609.58,518182343
2024-02-08,2620.26,2629.51,2610.21,2620.32,430009355
2024-02-13,2644.17,2656.87,2640.96,2649.64,559385295
2024-02-14,2609.6,2627.31,2601.99,2620.42,543525036
